,working_hours,location,model,const_year,extension,price
491,4322,SE,320,2015,E,120607
492,10800,FI,320,2015,E,89000
493,8463,SE,320,2015,E,76888
494,765,UK,320,2018,NG,105149
495,4065,NL,320,2018,D2,84800
496,9197,NL,320,2003,C,44000
497,7983,UA,320,2012,D,69000
498,13369,NL,320,2003,C,46900
499,3093,PL,320,2014,E,97876
500,5273,EE,320,2015,E,79000
501,6771,PL,320,2015,E,73898
502,10684,FR,320,2013,E,55000
503,16950,HU,320,2002,C,36600
504,4670,RO,320,2014,E,93000
505,4600,ES,320,2015,E,1
506,7236,EE,320,2015,E,76900
507,7632,PL,320,2016,E,84361
508,7176,PL,320,2015,E,76078
509,4841,ES,320,2015,E,92000
510,9470,RU,320,2016,D2,81329
511,8000,PT,320,2007,D,40700
512,2170,PL,320,2019,NG,133000
513,14613,NL,320,2005,C,41800
514,2956,SE,320,2016,F,154729
515,4662,PL,320,2017,F,86977
516,2239,PL,320,2018,NG,136000
517,14000,PL,320,2011,D,45000
518,12095,PL,320,2013,E,62980
519,8822,FR,320,2011,D,62000
520,18730,PL,320,2007,C,38650
521,7370,FR,320,2012,E,74500
522,6600,FR,320,2016,E,75000
523,1800,FR,320,2017,F,124000
524,5423,BE,320,2017,D2,110000
525,8521,EE,320,2012,E,80000
526,8287,PL,320,2015,E,74000
527,7549,PL,320,2016,E,78000
528,6512,PL,320,2014,E,78000
529,3150,BE,320,2017,F,105000
530,9685,PL,320,2012,E,57240
531,13488,AT,320,2013,E,57000
532,5300,DE,320,2015,E,93000
533,10911,DE,320,2004,C,44500
534,13551,PL,320,2012,D,62000
535,8122,DE,320,2015,E,72900
536,15801,NL,320,2011,D,51900
537,3588,FR,320,2013,E,114000
538,7780,DE,320,2015,F,95000
539,2262,DE,320,2017,F,109900
540,7893,BE,320,2015,E,69500
541,1730,DE,320,2017,NG,110500
542,5021,AT,320,2015,E,76300
543,5300,PL,320,2015,E,79000
544,9740,NL,320,2013,E,69950
545,2190,BE,320,2017,F,119900
546,5100,BE,320,2014,E,87500
547,4050,PL,320,2016,E,119000
548,9500,PL,320,2008,D,44000
549,6840,FR,320,2015,E,80000
550,9036,NL,320,2005,C,55900
551,13466,NL,320,2010,D,51500
552,8150,DE,320,2012,E,69500
553,9364,DE,320,2014,E,67000
554,5692,DE,320,2015,E,79000
555,4602,DE,320,2015,E,89500
556,2701,NL,320,2015,E,115000
557,12499,NL,320,2006,D,42800
558,13272,NL,320,2008,D,45000
559,10137,LT,320,2012,E,65000
560,10000,RO,320,2011,D,59000
561,8445,NL,320,2004,C,59800
562,9390,NL,320,2013,E,71500
563,6000,LT,320,2016,E,60500
564,4957,NL,320,2017,F,86600
565,7285,RU,320,2007,D,67370
566,6626,RU,320,2013,D,84130
567,7260,RU,320,2012,D,75960
568,7633,RU,320,2008,D,69920
569,8655,RU,320,2008,D,72030
570,4904,RU,320,2012,D,92710
571,5760,RU,320,2010,D,58450
572,11318,RU,320,2009,D,59620
573,11027,RU,320,2006,D,62140
574,6761,BE,320,2015,E,69950
575,8903,RU,320,2007,D,53260
576,10448,RU,320,2002,C,52200
577,14530,NL,320,2009,D,42500
578,5000,LT,320,2016,E,72000
579,12596,NL,320,2008,D,42500
580,9448,NO,320,2015,E,93879
581,6000,NO,320,2015,E,96660
582,9765,NL,320,2004,C,35000
583,13000,LV,320,2008,D,50000
584,8500,FR,320,2014,E,85000
585,9876,NL,320,2008,D,45000
586,9624,NL,320,2006,C,42000
587,6345,FR,320,2015,E,85900
588,15200,NL,320,2007,D,45500
589,18200,NL,320,2008,D,42000
590,3239,LT,320,2018,NG,125000
591,8800,ES,320,2015,E,89000
592,4313,DE,320,2013,E,78950
593,16000,NL,320,2009,D,45000
594,3577,NL,320,2019,D3,86800
595,6400,RO,320,2012,E,68000
596,11500,FI,320,2011,D,63900
597,7107,PL,320,2017,F,85000
598,2480,NL,320,2018,D2,91800
599,10573,AT,320,2013,E,64900
600,10117,NL,320,2008,D,55000
601,10035,NL,320,2014,E,69500
602,6000,DE,320,2011,D,89500
603,2561,DE,320,2013,E,138500
604,10500,DE,320,2005,C,31900
605,7466,NL,320,2014,E,67800
606,5375,DE,320,2015,E,98900
607,2656,DE,320,2018,NG,140000
608,8700,NO,320,2014,E,77310
609,8680,TR,320,2012,D,50000
610,8900,BE,320,2012,E,69000
611,7350,EE,320,2013,E,76000
612,3000,LT,320,2015,E,75000
613,16000,TR,320,2008,D,47900
614,4700,BE,320,2016,E,108900
615,5700,BE,320,2014,E,87500
616,4250,BE,320,2017,F,116900
617,3200,BE,320,2017,F,119900
618,10407,BE,320,2013,E,57000
619,3580,BE,320,2016,F,119000
620,6136,EE,320,2017,F,90000
621,1534,PL,320,2019,NG,144000
622,1791,PL,320,2018,NG,141000
623,2218,FR,320,2017,F,145000
624,3531,FR,320,2017,F,137000
625,3089,PL,320,2014,E,99000
626,3929,NL,320,2018,D3,84900
627,2322,NL,320,2018,D2,89900
628,11254,NL,320,2009,D,45000
629,10048,NL,320,2015,E,66900
630,4500,LT,320,2015,E,58500
631,12257,NL,320,2012,D,50800
632,15161,LV,320,2007,D,35000
633,8256,NL,320,2005,C,47500
634,16000,FI,320,2007,D,59500
635,6786,NL,320,2015,E,85000
636,7983,NL,320,2012,D,49500
637,6600,PL,320,2014,E,69240
638,8500,PL,320,2012,E,66930
639,11212,NL,320,2003,C,39800
640,4218,PL,320,2016,E,94510
641,5615,DE,320,2014,E,120000
642,7460,DE,320,2014,E,91300
643,36,NL,320,2021,NG,121800
644,5,NL,320,2022,D3,102500
645,6,NL,320,2016,D2,125000
646,4,NL,320,2021,D,99800
647,5,NL,320,2021,D3,99800
648,7,NL,320,2021,D3,99800
649,8,NL,320,2021,D3,99800
650,5,BE,320,2021,D3,99500
651,7,NL,320,2020,NG,118000
652,10,NL,320,2020,D3,98500
653,8,NL,320,2020,D3,102000
654,4,BE,320,2021,D3,105000
655,6,NL,320,2021,D3,99800
656,7,UA,320,2021,D3,139800
657,15,UA,320,2021,D3,135000
658,10,LU,320,2021,D3,109000
659,3,NL,320,2021,D,94000
660,7,NL,320,2021,D3,94000
661,9,BE,320,2021,NG,119000
662,5,NL,320,2021,D3,95000
663,7,NL,320,2021,D3,95000
664,10,NL,320,2021,D3,109000
665,33,DE,320,2019,NG,165000
666,5,UA,320,2021,D,126000
667,7,NL,320,2021,D3,97500
668,5,RO,320,2021,D3,114900
669,7,NL,320,2020,D3,95000
670,6,NL,320,2020,D3,94000
671,13,UA,320,2021,D3,110000
672,7,NL,320,2020,D3,97500
673,8,FR,320,2011,D,62000
674,4,NL,320,2021,D3,97500
675,3,FR,320,2013,E,114000
676,8,LU,320,2020,D3,102500
677,8,LU,320,2021,D3,112500
678,7,PL,320,2017,F,85000
679,6,FR,320,2015,E,80000
680,4,PL,320,2016,E,119000
681,9,RU,320,2016,D2,80478
682,2,FR,320,2017,F,145000
683,9,PT,320,2012,E,120000
684,8,FR,320,2014,E,85000
685,1,PL,320,2019,NG,144000
686,4,SK,320,2014,E,105000
687,3,BE,320,2016,F,119000
688,1,PL,320,2018,NG,141000
689,2,DE,320,2018,NG,140000
690,3,NL,320,2021,D,97500
691,7,NL,320,2020,D,99800
692,10,AT,320,2013,E,76018
693,7,PT,320,2017,F,127500
694,5,UK,320,2018,NG,99561
695,7,RU,320,2017,D2,99711
696,3,FR,320,2017,F,137000
697,5,RU,320,2017,D2,106510
698,6,RU,320,2017,D2,104244
699,9,ES,320,2012,E,83000
700,8,NL,320,2020,D3,102500
701,7,NL,320,2020,D3,102500
702,5,NL,320,2021,D3,97500
703,6,NL,320,2021,D3,112500
704,8,NL,320,2021,D3,109500
705,7,BE,320,2021,D3,104500
706,11483,FI,323,2012,E,86700
707,12081,EE,323,2013,E,67900
708,13900,DE,323,2009,D,55000
709,8765,NL,323,2014,E,75000
710,1621,NL,323,2021,D3,94800
711,2820,IT,323,2016,E,97000
712,6273,NO,323,2015,E,107391
713,9362,DE,323,2014,E,70000
714,12800,DE,323,2011,D,59900
715,7100,DE,323,2011,D,75000
716,6140,DE,323,2012,E,79990
717,7400,PL,323,2016,F,105500
718,8500,NL,323,2011,E,69000
719,11000,DE,323,2013,E,66900
720,7280,DE,323,2012,E,52941
721,19495,NL,323,2010,D,46800
722,2924,FR,323,2016,E,145000
723,8900,DE,323,2012,E,53900
724,4274,FR,323,2017,F,145000
725,7633,NL,323,2013,E,66500
726,7660,NL,323,2011,D,67500
727,5437,FR,323,2016,E,150000
728,14800,DE,323,2007,D,47000
729,9227,DE,323,2010,D,61000
730,13250,IT,323,2008,D,46500
731,5955,NO,323,2014,E,119007
732,3477,FR,323,2016,E,125000
733,7800,DE,323,2014,E,81000
734,17100,PL,323,2007,D,36500
