,extension,L,RR,LR,GC,location,working_hours,price,const_year
462,D2,0,0,0,0,NL,2322,89900,2018
463,D,1,0,0,0,NL,11254,45000,2009
464,E,1,0,0,0,NL,10048,66900,2015
465,E,1,0,0,0,LT,4500,58500,2015
466,D,0,0,0,0,NL,12257,50800,2012
467,D,1,0,0,0,LV,15161,35000,2007
468,C,1,0,0,0,NL,8256,47500,2005
469,D,1,0,0,0,FI,16000,59500,2007
470,E,1,0,0,0,NL,6786,85000,2015
471,D,0,0,0,0,NL,7983,49500,2012
472,E,1,0,0,0,PL,6600,69240,2014
473,E,0,0,0,0,PL,8500,66930,2012
474,C,1,0,0,0,NL,11212,39800,2003
475,E,1,0,0,0,PL,4218,94510,2016
476,E,1,0,1,0,DE,5615,120000,2014
477,E,1,0,0,0,DE,7460,91300,2014
479,NG,0,0,0,1,NL,36,121800,2021
480,D3,0,0,0,0,NL,5,102500,2022
482,D2,0,0,0,0,NL,6,125000,2016
483,D,0,0,0,0,NL,4,99800,2021
484,D3,0,0,0,0,NL,5,99800,2021
485,D3,0,0,0,0,NL,7,99800,2021
486,D3,0,0,0,0,NL,8,99800,2021
487,D3,0,0,0,0,BE,5,99500,2021
488,NG,0,0,0,1,NL,7,118000,2020
489,D2,0,0,0,0,NL,6,185000,2016
490,D3,0,0,0,0,NL,10,98500,2020
491,D3,0,0,0,0,NL,8,102000,2020
492,D3,0,0,0,0,BE,4,105000,2021
493,D3,0,0,0,0,NL,6,99800,2021
494,D3,0,0,0,0,UA,7,139800,2021
495,D3,0,0,0,0,UA,15,135000,2021
496,D3,0,0,0,0,LU,10,109000,2021
497,D,0,0,0,0,NL,3,94000,2021
498,D3,0,0,0,0,NL,7,94000,2021
499,NG,0,0,0,1,BE,9,119000,2021
500,D3,0,0,0,0,NL,5,95000,2021
501,D3,0,0,0,0,NL,7,95000,2021
502,D3,0,0,0,0,NL,10,109000,2021
503,NG,0,0,0,0,DE,33,165000,2019
504,D,0,0,0,0,UA,5,126000,2021
505,D3,0,0,0,0,NL,7,97500,2021
506,D3,0,0,0,0,RO,5,114900,2021
507,D3,0,0,0,0,NL,7,95000,2020
510,,0,0,0,0,DE,1,147490,2019
511,D3,0,0,0,0,NL,6,94000,2020
512,D3,0,0,0,0,UA,13,110000,2021
513,D3,0,0,0,0,NL,7,97500,2020
514,D,0,0,0,0,FR,8,62000,2011
515,D3,0,0,0,0,NL,4,97500,2021
516,E,0,0,0,0,FR,3,114000,2013
517,D3,0,0,0,0,LU,8,102500,2020
518,D3,0,0,0,0,LU,8,112500,2021
520,F,1,0,0,0,PL,7,85000,2017
521,E,0,0,0,0,FR,6,80000,2015
522,E,1,0,0,0,PL,4,119000,2016
523,D2,1,0,0,0,RU,9,80478,2016
524,F,0,0,0,0,FR,2,145000,2017
525,E,1,0,0,0,PT,9,120000,2012
526,E,0,0,0,0,FR,8,85000,2014
527,NG,0,0,0,1,PL,1,144000,2019
528,E,1,0,0,0,SK,4,105000,2014
529,F,1,0,0,0,BE,3,119000,2016
530,NG,0,0,0,0,PL,1,141000,2018
531,NG,0,0,0,0,DE,2,140000,2018
532,D,0,0,0,0,NL,3,97500,2021
533,D,0,0,0,0,NL,7,99800,2020
535,E,1,1,0,0,AT,10,76018,2013
536,F,1,0,0,0,PT,7,127500,2017
537,NG,0,0,0,0,UK,5,99561,2018
538,D2,1,0,0,0,RU,7,99711,2017
539,F,0,0,0,0,FR,3,137000,2017
540,D2,1,0,0,0,RU,5,106510,2017
541,D2,1,0,0,0,RU,6,104244,2017
542,E,1,0,0,0,ES,9,83000,2012
543,D3,0,0,0,0,NL,8,102500,2020
544,D3,0,0,0,0,NL,7,102500,2020
545,D3,0,0,0,0,NL,5,97500,2021
546,D3,0,0,0,0,NL,6,112500,2021
548,D3,0,0,0,0,NL,8,109500,2021
549,D3,0,0,0,0,BE,7,104500,2021
550,,0,0,0,0,DE,1,145990,2019
